phoneme	freq	rfreq
e	792	0.13202200366727787
a	747	0.12452075345890982
n	505	0.08418069678279713
i	442	0.07367894649108185
k	384	0.06401066844474079
u	360	0.06001000166694449
ɾ	327	0.054509084847474576
t	303	0.050508418069678276
d	211	0.035172528754792466
o	200	0.03333888981496916
g	178	0.029671611935322553
h	174	0.02900483413902317
s̺	137	0.022837139523253877
l	133	0.022170361726954493
s	122	0.020336722787131188
b	121	0.020170028338056343
s̻	107	0.017836306051008503
ai	87	0.014502417069511586
m	79	0.013168861476912819
r	74	0.012335389231538589
ts̻	64	0.010668444740790132
p	57	0.009501583597266211
ic	54	0.009001500250041674
β	46	0.007667944657442907
aʊ	43	0.007167861310218369
é	31	0.00516752792132022
iɲ	25	0.004167361226871145
j	25	0.004167361226871145
iʎ	22	0.0036672778796466078
f	21	0.003500583430571762
v	20	0.003333888981496916
ei	19	0.0031671945324220703
á	18	0.0030005000833472247
tʃ	14	0.002333722287047841
ts̺	13	0.0021670278379729954
ɔi	13	0.0021670278379729954
eu	9	0.0015002500416736123
ä	8	0.0013335555925987664
iɟ	7	0.0011668611435239206
ó	4	0.0006667777962993832
è	2	0.0003333888981496916
æ	1	0.0001666944490748458
