phoneme freq rfreq
AH0 7360 0.09255998792695809
N 5668 0.07128125157201066
T 5556 0.06987273001660044
S 5112 0.06428894813622416
R 4300 0.054077166859499974
L 4223 0.05310880829015544
K 3639 0.04576437446551637
D 3558 0.04474571155490719
IH0 3088 0.038834951456310676
P 2481 0.03120126766939987
M 2380 0.029931083052467427
EH1 2356 0.02962925700487952
Z 2346 0.029503496151717892
IH1 1916 0.024095779465767894
ER0 1881 0.0236556164797022
IY0 1746 0.02195784496202022
AE1 1643 0.020662508174455457
EY1 1514 0.019040193168670456
B 1402 0.017631671613260225
AA1 1371 0.01724181296845918
F 1340 0.01685195432365813
NG 1251 0.015732682730519643
SH 1102 0.013858846018411388
V 1102 0.013858846018411388
AY1 1018 0.012802454851853716
IY1 916 0.011519694149605112
G 860 0.010815433371899994
AO1 838 0.010538759494944414
AH1 825 0.010375270385834297
OW1 765 0.00962070526686453
W 713 0.008966748830424066
JH 666 0.008375672820564414
UW1 661 0.0083127923939836
Y 536 0.006740781729463252
ER1 509 0.006401227425926858
HH 506 0.006363499169978369
CH 485 0.00609940137833895
TH 300 0.0037728255948488356
AW1 272 0.0034206952059962774
OW0 181 0.002276271442225464
UH1 173 0.002175662759696162
EH0 155 0.0019492932240052316
UW0 151 0.0018989888827405806
AE0 125 0.001572010664520348
OY1 116 0.001458825896674883
DH 95 0.0011947281050354646
ZH 82 0.0010312389959253483
AY0 75 0.0009432063987122089
AA0 62 0.0007797172896020926
AO0 52 0.0006539564364404648
EY0 24 0.00030182604758790686
UH0 12 0.00015091302379395343
AW0 6 7.545651189697672e-05
OY0 2 2.515217063232557e-05
