phoneme freq rfreq
A 52503 0.10285307934318838
I 51247 0.10039258246386636
T 45517 0.08916754494912492
S 43210 0.08464814502826828
N 41869 0.08202113363083927
E 37050 0.07258073995133858
L 31850 0.062393969431852464
K 26467 0.051848702949853664
O 25741 0.050426473065786945
U 21484 0.042087034200123025
R 19307 0.03782230354225355
M 16249 0.031831698879063446
A: 12204 0.02390756681150165
P 11358 0.022250257607754485
V 11206 0.021952490469492582
H 9893 0.019380330913322336
Y 7800 0.015280155779229174
J 7736 0.015154780142066268
D 6411 0.01255911265392798
AA 5813 0.011387634044187077
II 3248 0.006362813586017482
G 3186 0.006241355937515917
EE 2921 0.0057222224398882585
C 2485 0.004868100911715962
B 2479 0.004856346945731939
O: 2324 0.004552702824478026
UU 2181 0.004272566635192158
A:A: 2056 0.004027692343858357
F 1482 0.002903229598053543
OO 934 0.0018297007048461602
W 703 0.001377173014461296
YY 613 0.0012008635247009595
Z 479 0.0009383582843911249
X 203 0.00039767584912609263
Q 118 0.00023116133101910803
O:O: 84 0.0001645555237763142
A0 50 9.794971653352035e-05
0 2 3.917988661340814e-06
: 2 3.917988661340814e-06
A0A0 1 1.958994330670407e-06
