phoneme freq rfreq
i 390 0.1390870185449358
u 271 0.09664764621968616
a 258 0.0920114122681883
t 232 0.08273894436519258
R 201 0.0716833095577746
s 141 0.05028530670470756
n 139 0.049572039942938656
e 102 0.03637660485021398
A 95 0.033880171184022825
q 87 0.031027104136947217
a: 79 0.028174037089871613
m 76 0.02710413694721826
K 74 0.026390870185449358
l 73 0.026034236804564907
p 69 0.024607703281027102
o 65 0.023181169757489302
G 61 0.021754636233951498
s: 55 0.019614835948644792
k 51 0.01818830242510699
N 38 0.01355206847360913
n: 37 0.013195435092724679
u: 28 0.009985734664764621
k: 24 0.008559201141226819
v 22 0.007845934379457917
A: 22 0.007845934379457917
N: 16 0.005706134094151213
q: 15 0.005349500713266762
t: 14 0.004992867332382311
j 13 0.0046362339514978606
m: 13 0.0046362339514978606
i: 9 0.003209700427960057
f 6 0.0021398002853067048
o: 6 0.0021398002853067048
p: 4 0.0014265335235378032
f: 3 0.0010699001426533524
ai 3 0.0010699001426533524
e: 3 0.0010699001426533524
 2 0.0007132667617689016
d 2 0.0007132667617689016
X 2 0.0007132667617689016
g 1 0.0003566333808844508
S 1 0.0003566333808844508
h 1 0.0003566333808844508
