phoneme	freq	rfreq
i	5506	0.12764280415430268
e	4202	0.09741283382789317
t	3894	0.09027262611275964
a	3270	0.07580675074183976
r	3203	0.07425352373887241
n	3076	0.0713093471810089
s	3025	0.07012704005934718
u	2634	0.061062685459940653
o	2507	0.05811850890207715
m	2251	0.052183790801186944
k	1901	0.04406991839762611
p	1334	0.030925445103857568
d	1295	0.030021327893175073
l	1293	0.029974962908011868
b	612	0.014187685459940653
f	551	0.012773553412462908
w	547	0.012680823442136498
g	535	0.01240263353115727
kw	383	0.00887889465875371
ai	364	0.008438427299703264
ks	180	0.004172848664688427
h	154	0.0035701038575667657
aw	137	0.003176001483679525
uy	86	0.001993694362017804
ew	78	0.0018082344213649851
ej	27	0.0006259272997032641
kh	25	0.0005795623145400593
th	20	0.0004636498516320475
y	17	0.00039410237388724036
oj	16	0.000370919881305638
z	12	0.0002781899109792285
q	1	2.3182492581602375e-05
