phoneme freq rfreq
a 8290 0.17238869595957496
e 4053 0.08428122855538689
n 3715 0.07725259414834994
r 2898 0.060263261868618606
m 2865 0.05957703424899665
k 2514 0.05227806774938135
u 2496 0.051903761775042107
 2291 0.047640832622845145
i 2286 0.04753685874108424
t 2150 0.04470876915718772
p 1749 0.0363700638399634
b 1717 0.03570463099669363
ng 1643 0.03416581754663229
l 1528 0.031774418266131546
s 1516 0.03152488094990538
E 1182 0.024579425648277153
h 1112 0.02312379130362453
d 818 0.017010127056083513
g 633 0.01316309343093015
j 560 0.011645074757220986
o 501 0.010418182952442347
c 455 0.00946162324024205
ny 253 0.005261078417101624
w 237 0.004928361995466739
ai 221 0.004595645573831853
y 146 0.0030360373474183286
au 102 0.0021210671879223937
f 55 0.0011437126993699182
kh 37 0.0007694067250306723
z 31 0.0006446380669175903
sy 27 0.000561458961508869
gh 6 0.000124768658113082
oi 2 4.1589552704360663e-05
